,Unnamed: 0,id,title,subcategories,abstract,doi,created,updated,authors,main_categories
16,55,1312.6809,the micro dynamics of collective violence,"['physics.soc-ph', 'cs.si']","collective violence in direct confrontations between two opposing groups happens in short bursts wherein small subgroups briefly attack small numbers of opponents, while the others form a non-fighting audience. the mechanism is fighters' synchronization of intentionalities during preliminary interactions, by which they feel one and overcome their fear. to explain these bursts, subgroups' small sizes and leaders' role, a social influence model and a synchronization model are compared.",,12/24/2013,2/2/2018,['bruggeman'],['cs']
17,17,1110.2053,"steps towards a theory of visual information: active perception,   signal-to-symbol conversion and the interplay between sensing and control",['cs.cv'],"this manuscript describes the elements of a theory of information tailored to control and decision tasks and specifically to visual data. the concept of actionable information is described, that relates to a notion of information championed by j. gibson, and a notion of ""complete information"" that relates to the minimal sufficient statistics of a complete representation. it is shown that the ""actionable information gap"" between the two can be reduced by exercising control on the sensing process. thus, senging, control and information are inextricably tied. this has consequences in the so-called ""signal-to-symbol barrier"" problem, as well as in the analysis and design of active sensing systems. it has ramifications in vision-based control, navigation, 3-d reconstruction and rendering, as well as detection, localization, recognition and categorization of objects and scenes in live video.   this manuscript has been developed from a set of lecture notes for a summer course at the first international computer vision summer school (icvss) in scicli, italy, in july of 2008. they were later expanded and amended for subsequent lectures in the same school in july 2009. starting on november 1, 2009, they were further expanded for a special topics course, cs269, taught at ucla in the spring term of 2010.",,10/10/2011,12/27/2017,['soatto'],['math']
18,58,1401.1671,distributed energy efficient channel allocation,"['cs.ni', 'cs.it', 'math.it']","design of energy efficient protocols for modern wireless systems has become an important area of research. in this paper, we propose a distributed optimization algorithm for the channel assignment problem for multiple interfering transceiver pairs that cannot communicate with each other. we first modify the auction algorithm for maximal energy efficiency and show that the problem can be solved without explicit message passing using the carrier sense multiple access (csma) protocols. we then develop a novel scheme by converting the channel assignment problem into perfect matchings on bipartite graphs. the proposed scheme improves the energy efficiency and does not require any explicit message passing or a shared memory between the users. we derive bounds on the convergence rate and show that the proposed algorithm converges faster than the distributed auction algorithm and achieves near-optimal performance under rayleigh fading channels. we also present an asymptotic performance analysis of the fast matching algorithm for energy efficient resource allocation and prove the optimality for large enough number of users and number of channels. finally, we provide numerical assessments that confirm the energy efficiency gains compared to the state of the art.",,1/8/2014,2/15/2018,"['naparstek', 'zafaruddin', 'leshem', 'jorswieck']",['cs']
19,21,1202.3538,refinement modal logic,"['cs.lo', 'cs.ai']","in this paper we present {\em refinement modal logic}. a refinement is like a bisimulation, except that from the three relational requirements only `atoms' and `back' need to be satisfied. our logic contains a new operator 'all' in addition to the standard modalities 'box' for each agent. the operator 'all' acts as a quantifier over the set of all refinements of a given model. as a variation on a bisimulation quantifier, this refinement operator or refinement quantifier 'all' can be seen as quantifying over a variable not occurring in the formula bound by it. the logic combines the simplicity of multi-agent modal logic with some powers of monadic second-order quantification. we present a sound and complete axiomatization of multi-agent refinement modal logic. we also present an extension of the logic to the modal mu-calculus, and an axiomatization for the single-agent version of this logic. examples and applications are also discussed: to software verification and design (the set of agents can also be seen as a set of actions), and to dynamic epistemic logic. we further give detailed results on the complexity of satisfiability, and on succinctness.",10.1016/j.ic.2014.07.013,2/16/2012,12/25/2013,"['bozzelli', 'van ditmarsch', 'french', 'hales', 'pinchinat']",['math']
20,33,1211.6468,"using isabelle to verify special relativity, with application to   hypercomputation theory","['cs.lo', 'gr-qc']","logicians at the r\'enyi mathematical institute in budapest have spent several years developing versions of relativity theory (special, general, and other variants) based wholly on first order logic, and have argued in favour of the physical decidability, via exploitation of cosmological phenomena, of formally undecidable questions such as the halting problem and the consistency of set theory.   the hungarian theories are very extensive, and their associated proofs are intuitively very satisfying, but this brings its own risks since intuition can sometimes be misleading. as part of a joint project, researchers at sheffield have recently started generating rigorous machine-verified versions of the hungarian proofs, so as to demonstrate the soundness of their work. in this paper, we explain the background to the project and demonstrate an isabelle proof of the theorem ""no inertial observer can travel faster than light"".   this approach to physical theories and physical computability has several pay-offs: (a) we can be certain our intuition hasn't led us astray (or if it has, we can identify where this has happened); (b) we can identify which axioms are specifically required in the proof of each theorem and to what extent those axioms can be weakened (the fewer assumptions we make up-front, the stronger the results); and (c) we can identify whether new formal proof techniques and tactics are needed when tackling physical as opposed to mathematical theories.",10.1007/s10817-013-9292-7,11/27/2012,1/18/2013,"['stannett', 'németi']",['cs']
21,29,1210244,"group model selection using marginal correlations: the good, the bad and   the ugly","['math.st', 'cs.it', 'math.it', 'stat.ml', 'stat.th']","group model selection is the problem of determining a small subset of groups of predictors (e.g., the expression data of genes) that are responsible for majority of the variation in a response variable (e.g., the malignancy of a tumor). this paper focuses on group model selection in high-dimensional linear models, in which the number of predictors far exceeds the number of samples of the response variable. existing works on high-dimensional group model selection either require the number of samples of the response variable to be significantly larger than the total number of predictors contributing to the response or impose restrictive statistical priors on the predictors and/or nonzero regression coefficients. this paper provides comprehensive understanding of a low-complexity approach to group model selection that avoids some of these limitations. the proposed approach, termed group thresholding (groth), is based on thresholding of marginal correlations of groups of predictors with the response variable and is reminiscent of existing thresholding-based approaches in the literature. the most important contribution of the paper in this regard is relating the performance of groth to a polynomial-time verifiable property of the predictors for the general case of arbitrary (random or deterministic) predictors and arbitrary nonzero regression coefficients.",10.1109/allerton.2012.6483259,10/8/2012,,"['bajwa', 'mixon']",['math']
22,26,1206.4656,machine learning that matters,"['cs.lg', 'cs.ai', 'stat.ml']","much of current machine learning (ml) research has lost its connection to problems of import to the larger world of science and society. from this perspective, there exist glaring limitations in the data sets we investigate, the metrics we employ for evaluation, and the degree to which results are communicated back to their originating domains. what changes are needed to how we conduct research to increase the impact that ml has? we present six impact challenges to explicitly focus the field?s energy and attention, and we discuss existing obstacles that must be addressed. we aim to inspire ongoing discussion and focus on ml that matters.",,6/18/2012,,['wagstaff'],['cs']
23,38,1305.5592,finite-length and asymptotic analysis of correlogram for undersampled   data,"['cs.it', 'math.it']","this paper studies a spectrum estimation method for the case that the samples are obtained at a rate lower than the nyquist rate. the method is referred to as the correlogram for undersampled data. the algorithm partitions the spectrum into a number of segments and estimates the average power within each spectral segment. this method is able to estimate the power spectrum density of a signal from undersampled data without essentially requiring the signal to be sparse. we derive the bias and the variance of the spectrum estimator, and show that there is a tradeoff between the accuracy of the estimation, the frequency resolution, and the complexity of the estimator. a closed-form approximation of the estimation variance is also derived, which clearly shows how the variance is related to different parameters. the asymptotic behavior of the estimator is also investigated, and it is proved that this spectrum estimator is consistent. moreover, the estimation made for different spectral segments becomes uncorrelated as the signal length tends to infinity. finally, numerical examples and simulation results are provided, which approve the theoretical conclusions.",,5/23/2013,,"['shaghaghi', 'vorobyov']",['math']
24,80,1405.1906,leader-following consensus of multi-agent systems over finite fields,"['math.oc', 'cs.sy']","the leader-following consensus problem of multi-agent systems over finite fields ${\mathbb f}_p$ is considered in this paper. dynamics of each agent is governed by a linear equation over ${\mathbb f}_p$, where a distributed control protocol is utilized by the followers.sufficient and/or necessary conditions on system matrices and graph weights in ${\mathbb f}_p$ are provided for the followers to track the leader.",10.1109/cdc.2014.7039850,5/8/2014,,"['xu', 'hong']",['cs']
25,28,1208.3251,toward resource-optimal consensus over the wireless medium,"['cs.it', 'math.it']","we carry out a comprehensive study of the resource cost of averaging consensus in wireless networks. most previous approaches suppose a graphical network, which abstracts away crucial features of the wireless medium, and measure resource consumption only in terms of the total number of transmissions required to achieve consensus. under a path-loss dominated model, we study the resource requirements of consensus with respect to three wireless-appropriate metrics: total transmit energy, elapsed time, and time-bandwidth product. first we characterize the performance of several popular gossip algorithms, showing that they may be order-optimal with respect to transmit energy but are strictly suboptimal with respect to elapsed time and time-bandwidth product. further, we propose a new consensus scheme, termed hierarchical averaging, and show that it is nearly order-optimal with respect to all three metrics. finally, we examine the effects of quantization, showing that hierarchical averaging provides a nearly order-optimal tradeoff between resource consumption and quantization error.",10.1109/jstsp.2013.2246765,8/15/2012,2/11/2013,"['nokleby', 'bajwa', 'calderbank', 'aazhang']",['math']
26,27,1208.3124,on the computation of zone and double zone diagrams,"['cs.cg', 'math.fa', 'math.mg']","classical objects in computational geometry are defined by explicit relations. several years ago the pioneering works of t. asano, j. matousek and t. tokuyama introduced ""implicit computational geometry"", in which the geometric objects are defined by implicit relations involving sets. an important member in this family is called ""a zone diagram"". the implicit nature of zone diagrams implies, as already observed in the original works, that their computation is a challenging task. in a continuous setting this task has been addressed (briefly) only by these authors in the euclidean plane with point sites. we discuss the possibility to compute zone diagrams in a wide class of spaces and also shed new light on their computation in the original setting. the class of spaces, which is introduced here, includes, in particular, euclidean spheres and finite dimensional strictly convex normed spaces. sites of a general form are allowed and it is shown that a generalization of the iterative method suggested by asano, matousek and tokuyama converges to a double zone diagram, another implicit geometric object whose existence is known in general. occasionally a zone diagram can be obtained from this procedure. the actual (approximate) computation of the iterations is based on a simple algorithm which enables the approximate computation of voronoi diagrams in a general setting. our analysis also yields a few byproducts of independent interest, such as certain topological properties of voronoi cells (e.g., that in the considered setting their boundaries cannot be ""fat"").",10.1007/s00454-017-9958-8,8/14/2012,12/31/2017,['reem'],['cs']
27,35,1302.4118,target estimation in colocated mimo radar via matrix completion,"['cs.it', 'math.it', 'stat.ap']","we consider a colocated mimo radar scenario, in which the receive antennas forward their measurements to a fusion center. based on the received data, the fusion center formulates a matrix which is then used for target parameter estimation. when the receive antennas sample the target returns at nyquist rate, and assuming that there are more receive antennas than targets, the data matrix at the fusion center is low-rank. when each receive antenna sends to the fusion center only a small number of samples, along with the sample index, the receive data matrix has missing elements, corresponding to the samples that were not forwarded. under certain conditions, matrix completion techniques can be applied to recover the full receive data matrix, which can then be used in conjunction with array processing techniques, e.g., music, to obtain target information. numerical results indicate that good target recovery can be achieved with occupancy of the receive data matrix as low as 50%.",10.1109/icassp.2013.6638439,2/17/2013,3/25/2013,"['sun', 'petropulu', 'bajwa']",['math']
28,68,1402.3631,privately solving linear programs,"['cs.ds', 'cs.cr', 'cs.lg']","in this paper, we initiate the systematic study of solving linear programs under differential privacy. the first step is simply to define the problem: to this end, we introduce several natural classes of private linear programs that capture different ways sensitive data can be incorporated into a linear program. for each class of linear programs we give an efficient, differentially private solver based on the multiplicative weights framework, or we give an impossibility result.",10.1007/978-3-662-43948-7_51,2/14/2014,5/8/2014,"['hsu', 'roth', 'roughgarden', 'ullman']",['cs']
29,49,1311.2828,private matchings and allocations,"['cs.gt', 'cs.cr', 'cs.ds']","we consider a private variant of the classical allocation problem: given k goods and n agents with individual, private valuation functions over bundles of goods, how can we partition the goods amongst the agents to maximize social welfare? an important special case is when each agent desires at most one good, and specifies her (private) value for each good: in this case, the problem is exactly the maximum-weight matching problem in a bipartite graph.   private matching and allocation problems have not been considered in the differential privacy literature, and for good reason: they are plainly impossible to solve under differential privacy. informally, the allocation must match agents to their preferred goods in order to maximize social welfare, but this preference is exactly what agents wish to hide. therefore, we consider the problem under the relaxed constraint of joint differential privacy: for any agent i, no coalition of agents excluding i should be able to learn about the valuation function of agent i. in this setting, the full allocation is no longer published---instead, each agent is told what good to get. we first show that with a small number of identical copies of each good, it is possible to efficiently and accurately solve the maximum weight matching problem while guaranteeing joint differential privacy. we then consider the more general allocation problem, when bidder valuations satisfy the gross substitutes condition. finally, we prove that the allocation problem cannot be solved to non-trivial accuracy under joint differential privacy without requiring multiple copies of each type of good.",10.1137/15100271x,11/12/2013,8/19/2016,"['hsu', 'huang', 'roth', 'roughgarden', 'wu']",['math']
30,30,1210.4959,halving lines and their underlying graphs,"['math.co', 'cs.dm']","in this paper we study underlying graphs corresponding to a set of halving lines. we establish many properties of such graphs. in addition, we tighten the upper bound for the number of halving lines.",10.2140/involve.2018.11.1,10/17/2012,,"['khovanova', 'yang']",['cs']
31,32,1211.0877,differential privacy for the analyst via private equilibrium computation,"['cs.ds', 'cs.gt']","we give new mechanisms for answering exponentially many queries from multiple analysts on a private database, while protecting differential privacy both for the individuals in the database and for the analysts. that is, our mechanism's answer to each query is nearly insensitive to changes in the queries asked by other analysts. our mechanism is the first to offer differential privacy on the joint distribution over analysts' answers, providing privacy for data analysts even if the other data analysts collude or register multiple accounts. in some settings, we are able to achieve nearly optimal error rates (even compared to mechanisms which do not offer analyst privacy), and we are able to extend our techniques to handle non-linear queries. our analysis is based on a novel view of the private query-release problem as a two-player zero-sum game, which may be of independent interest.",10.1145/2488608.2488651,11/5/2012,3/22/2013,"['hsu', 'roth', 'ullman']",['math']
32,71,1403.4622,complete simultaneous conjugacy invariants in artin's braid groups,"['math.gr', 'cs.cc', 'cs.cr']","we solve the simultaneous conjugacy problem in artin's braid groups and, more generally, in garside groups, by means of a complete, effectively computable, finite invariant. this invariant generalizes the one-dimensional notion of super summit set to arbitrary dimensions. one key ingredient in our solution is the introduction of a provable high-dimensional version of the birman--ko--lee cycling theorem. the complexity of this solution is a small degree polynomial in the cardinalities of our generalized super summit sets and the input parameters. computer experiments suggest that the cardinality of this invariant, for a list of order $n$ independent elements of artin's braid group $b_n$, is generically close to~1.",,3/18/2014,2/15/2018,"['kalka', 'tsaban', 'vinokur']",['cs']
33,57,1401.1333,time series forecasting using neural networks,['cs.ne'],recent studies have shown the classification and prediction power of the neural networks. it has been demonstrated that a nn can approximate any continuous function. neural networks have been successfully used for forecasting of financial data series. the classical methods used for time series prediction like box-jenkins or arima assumes that there is a linear relationship between inputs and outputs. neural networks have the advantage that can approximate nonlinear functions. in this paper we compared the performances of different feed forward and recurrent neural networks and training algorithms for predicting the exchange rate eur/ron and usd/ron. we used data series with daily exchange rates starting from 2005 until 2013.,,1/7/2014,,"['oancea', 'ciucu']",['cs']
34,99,1409.8229999999999,renoir - a dataset for real low-light image noise reduction,['cs.cv'],"image denoising algorithms are evaluated using images corrupted by artificial noise, which may lead to incorrect conclusions about their performances on real noise. in this paper we introduce a dataset of color images corrupted by natural noise due to low-light conditions, together with spatially and intensity-aligned low noise images of the same scenes. we also introduce a method for estimating the true noise level in our images, since even the low noise images contain small amounts of noise. we evaluate the accuracy of our noise estimation method on real and artificial noise, and investigate the poisson-gaussian noise model. finally, we use our dataset to evaluate six denoising algorithms: active random field, bm3d, bilevel-mrf, multi-layer perceptron, and two versions of nl-means. we show that while the multi-layer perceptron, bilevel-mrf, and nl-means with soft threshold outperform bm3d on gray images with synthetic noise, they lag behind on our dataset.",10.1016/j.jvcir.2018.01.012,9/29/2014,5/8/2017,"['anaya', 'barbu']",['math']
35,16,1103.5034,on understanding and machine understanding,['cs.ai'],"in the present paper, we try to propose a self-similar network theory for the basic understanding. by extending the natural languages to a kind of so called idealy sufficient language, we can proceed a few steps to the investigation of the language searching and the language understanding of ai.   image understanding, and the familiarity of the brain to the surrounding environment are also discussed. group effects are discussed by addressing the essense of the power of influences, and constructing the influence network of a society. we also give a discussion of inspirations.",,3/23/2011,2/1/2018,['chern'],['cs']
36,2,808.0084,on the hitting times of quantum versus random walks,"['quant-ph', 'cs.ds']","in this paper we define new monte carlo type classical and quantum hitting times, and we prove several relationships among these and the already existing las vegas type definitions. in particular, we show that for some marked state the two types of hitting time are of the same order in both the classical and the quantum case.   further, we prove that for any reversible ergodic markov chain $p$, the quantum hitting time of the quantum analogue of $p$ has the same order as the square root of the classical hitting time of $p$. we also investigate the (im)possibility of achieving a gap greater than quadratic using an alternative quantum walk.   finally, we present new quantum algorithms for the detection and finding problems. the complexities of both algorithms are related to the new, potentially smaller, quantum hitting times. the detection algorithm is based on phase estimation and is particularly simple. the finding algorithm combines a similar phase estimation based procedure with ideas of tulsi from his recent theorem for the 2d grid. extending his result, we show that for any state-transitive markov chain with unique marked state, the quantum hitting time is of the same order for both the detection and finding problems.",,8/1/2008,,"['magniez', 'nayak', 'richter', 'santha']",['math']
